2026-08-08T11:31:26.983+05:30 DEBUG 15000 --- [patient-registry] [restartedMain] ssPathScanningCandidateComponentProvider : Identified candidate component class: file [D:\CurrentRunningProgram\PremDev\SPRINGWEB\patient-registry\patient-registry\target\classes\com\premit\patient_registry\service\PatientServiceImpl.class]
2026-08-08T11:31:27.000+05:30  INFO 15000 --- [patient-registry] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 68 ms. Found 1 JPA repository interface.
2026-08-08T11:31:27.180+05:30 DEBUG 15000 --- [patient-registry] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'propertySourcesPlaceholderConfigurer'
2026-08-08T11:31:27.193+05:30 DEBUG 15000 --- [patient-registry] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.devtools.autoconfigure.DevToolsDataSourceAutoConfiguration$DatabaseShutdownExecutorEntityManagerFactoryDependsOnPostProcessor'
2026-08-08T11:31:27.196+05:30 DEBUG 15000 --- [patient-registry] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.sql.init.dependency.DatabaseInitializationDependencyConfigurer$DependsOnDatabaseInitializationPostProcessor'
2026-08-08T11:31:27.241+05:30 DEBUG 15000 --- [patient-registry] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerProcessor'
2026-08-08T11:31:27.241+05:30 DEBUG 15000 --- [patient-registry] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'bootstrapExecutorAliasPostProcessor'
2026-08-08T11:31:27.241+05:30 DEBUG 15000 --- [patient-registry] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'preserveErrorControllerTargetClassPostProcessor'
2026-08-08T11:31:27.241+05:30 DEBUG 15000 --- [patient-registry] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerFactory'
2026-08-08T11:31:27.241+05:30 DEBUG 15000 --- [patient-registry] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.transaction.config.internalTransactionalEventListenerFactory'
2026-08-08T11:31:27.257+05:30 DEBUG 15000 --- [patient-registry] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
2026-08-08T11:31:27.257+05:30 DEBUG 15000 --- [patient-registry] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor'
2026-08-08T11:31:27.273+05:30 DEBUG 15000 --- [patient-registry] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalPersistenceAnnotationProcessor'
2026-08-08T11:31:27.273+05:30 DEBUG 15000 --- [patient-registry] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.context.properties.ConfigurationPropertiesBindingPostProcessor'
2026-08-08T11:31:27.273+05:30 DEBUG 15000 --- [patient-registry] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.context.internalConfigurationPropertiesBinder'
2026-08-08T11:31:27.273+05:30 DEBUG 15000 --- [patient-registry] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'jdbcConnectionDetailsHikariBeanPostProcessor'
2026-08-08T11:31:27.288+05:30 DEBUG 15000 --- [patient-registry] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'methodValidationPostProcessor'
2026-08-08T11:31:27.288+05:30 DEBUG 15000 --- [patient-registry] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'methodValidationPostProcessor' via factory method to bean named 'environment'
2026-08-08T11:31:27.328+05:30 DEBUG 15000 --- [patient-registry] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.context.properties.EnableConfigurationPropertiesRegistrar.methodValidationExcludeFilter'
2026-08-08T11:31:27.348+05:30 DEBUG 15000 --- [patient-registry] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.aop.framework.autoproxy.defaultProxyConfig'
2026-08-08T11:31:27.365+05:30 DEBUG 15000 --- [patient-registry] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.aop.config.internalAutoProxyCreator'
2026-08-08T11:31:27.387+05:30 DEBUG 15000 --- [patient-registry] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'persistenceExceptionTranslationPostProcessor'
2026-08-08T11:31:27.395+05:30 DEBUG 15000 --- [patient-registry] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'persistenceExceptionTranslationPostProcessor' via factory method to bean named 'environment'
2026-08-08T11:31:27.398+05:30 DEBUG 15000 --- [patient-registry] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'projectingArgumentResolverBeanPostProcessor'
2026-08-08T11:31:27.404+05:30 DEBUG 15000 --- [patient-registry] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
2026-08-08T11:31:27.404+05:30 DEBUG 15000 --- [patient-registry] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration'
